"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1413.84,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1403.07,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1399.84,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1401.89,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1401.99,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1409.55,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1390,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1389.47,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1391.97,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1374.53,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1387.59,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1386.94,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1369.68,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1411,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1407,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1416,,
"DNK","Denmark","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1466,,
"DNK","Denmark","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1469,,
